REG_Number,Department,Graduation_Year,CGPA,Internship,Internship_Months,Projects_Count,Certifications_Count,Python_Skill,SQL_Skill,DSA_Skill,DBMS_Skill,OOP_Skill,Computer_Networks_Skill,Operating_Systems_Skill,Web_Development_Skill,Cloud_Computing_Skill,Machine_Learning_Skill,Communication_Skill,Problem_Solving_Skill,Industry_Python_Required,Industry_SQL_Required,Industry_DSA_Required,Industry_DBMS_Required,Industry_OOP_Required,Industry_Computer_Networks_Required,Industry_Operating_Systems_Required,Industry_Web_Development_Required,Industry_Cloud_Computing_Required,Industry_Machine_Learning_Required,Industry_Communication_Required,Industry_Problem_Solving_Required,Python_Gap,SQL_Gap,DSA_Gap,DBMS_Gap,OOP_Gap,Computer_Networks_Gap,Operating_Systems_Gap,Web_Development_Gap,Cloud_Computing_Gap,Machine_Learning_Gap,Communication_Gap,Problem_Solving_Gap,Overall_Skill_Gap,Skill_Alignment_Percentage,Placement_Status,event_timestamp
231FA04246,CSE-DS,2027,7.98,No,0,5,0,8.8,4.8,4.5,6.8,9.3,7.7,6.9,6.3,8.2,7.1,9.1,4.8,9,8,8,7,9,7,8,6,8,7,9,8,0.2,3.2,3.5,0.2,0,0,1.1,0,0,0,0,3.2,0.95,90.5,Placed,2026-03-03 06:00:00
231FA04247,CSE,2027,7.68,Yes,4,1,3,7.3,6.1,7.3,7.1,7.4,8,8.5,9.2,6.8,6.1,5.3,7.3,7,8,8,7,8,8,7,8,7,7,9,8,0,1.9,0.7,0,0.6,0,0,0,0.2,0.9,3.7,0.7,0.72,92.8,Placed,2026-03-03 12:00:00
231FA04248,CSE-DS,2027,7.74,Yes,4,4,4,8.3,5.6,8.7,7.1,5.7,6.2,6.1,6.1,8,8.3,9.4,6.4,9,9,8,8,8,8,7,7,7,7,8,7,0.7,3.4,0,0.9,2.3,1.8,0.9,0.9,0,0,0,0.6,0.96,90.4,Not Placed,2026-03-03 18:00:00
231FA04249,CSE-DS,2027,8.11,No,0,4,2,7.4,6.2,7,5.1,5.6,8,5.1,7.7,6.1,4.6,3.8,8.8,8,8,8,7,8,8,7,7,6,7,7,7,0.6,1.8,1,1.9,2.4,0,1.9,0,0,2.4,3.2,0,1.27,87.3,Placed,2026-03-04 00:00:00
231FA04250,CSE-DS,2027,6.88,No,0,7,4,4.9,7.2,7.7,5.6,6.5,7.8,7.6,6.7,7.5,7.1,6,8.7,8,8,8,7,8,8,7,6,7,8,8,8,3.1,0.8,0.3,1.4,1.5,0.2,0,0,0,0.9,2,0,0.85,91.5,Not Placed,2026-03-04 06:00:00
231FA04251,CSE,2027,7.46,No,0,2,3,6.9,4.4,7.3,5.9,6.3,6.7,5.7,8.9,4.8,6.7,7.1,6.7,8,9,9,7,8,7,7,7,7,7,8,8,1.1,4.6,1.7,1.1,1.7,0.3,1.3,0,2.2,0.3,0.9,1.3,1.38,86.2,Placed,2026-03-04 12:00:00
231FA04252,CSE,2027,6.4,Yes,4,5,3,6.8,6.5,6,6,8.5,6.5,9.7,7.9,3.7,8.1,7,5.3,8,9,8,6,8,7,7,6,7,8,8,8,1.2,2.5,2,0,0,0.5,0,0,3.3,0,1,2.7,1.1,89,Not Placed,2026-03-04 18:00:00
231FA04253,CSE-DS,2027,7.95,No,0,3,2,8.4,6.3,6.2,7.3,8.2,7,6.9,5.9,8.2,7,6.5,6.4,9,8,8,7,7,6,8,7,7,6,8,8,0.6,1.7,1.8,0,0,0,1.1,1.1,0,0,1.5,1.6,0.78,92.2,Placed,2026-03-05 00:00:00
231FA04254,CSE,2027,8.14,No,0,3,5,8.4,6.8,8.4,6.5,8,7.3,5.9,7,4.3,6.2,5.1,9.6,8,8,8,6,8,8,7,6,6,6,8,8,0,1.2,0,0,0,0.7,1.1,0,1.7,0,2.9,0,0.63,93.7,Not Placed,2026-03-05 06:00:00
231FA04255,CSE,2027,7.29,No,0,3,3,4.8,10,7.4,6.1,7.8,6,5,6.9,7.6,8.4,7.4,6.1,9,7,7,7,8,8,8,7,6,6,8,8,4.2,0,0,0.9,0.2,2,3,0.1,0,0,0.6,1.9,1.08,89.2,Not Placed,2026-03-05 12:00:00
231FA04256,CSE-AIML,2027,8.83,No,0,3,0,8.6,8.3,7.2,8.3,9.6,6.1,5.7,6.1,5.1,7.6,4.8,8.4,8,8,7,7,7,6,7,6,6,6,8,8,0,0,0,0,0,0,1.3,0,0.9,0,3.2,0,0.45,95.5,Placed,2026-03-05 18:00:00
231FA04257,CSE-DS,2027,6.73,No,0,3,2,5.7,8.3,3.4,6.1,4.9,8.3,8.7,3.6,7.6,7.9,7,7.3,8,8,8,8,9,6,7,6,7,6,8,8,2.3,0,4.6,1.9,4.1,0,0,2.4,0,0,1,0.7,1.42,85.8,Placed,2026-03-06 00:00:00
231FA04258,CSE-AIML,2027,6.55,Yes,4,2,2,7.3,7.7,5.2,8.1,6.9,6.8,7.3,5,4.7,6.5,8.5,5.1,8,8,8,6,8,7,7,8,8,7,9,7,0.7,0.3,2.8,0,1.1,0.2,0,3,3.3,0.5,0.5,1.9,1.19,88.1,Not Placed,2026-03-06 06:00:00
231FA04259,CSE-AIML,2027,7.82,Yes,10,1,3,7,5.9,5.8,7.4,7.8,5.8,8.6,7.4,6.5,7.3,9.4,7.8,8,8,8,7,8,7,7,7,6,8,9,9,1,2.1,2.2,0,0.2,1.2,0,0,0,0.7,0,1.2,0.72,92.8,Placed,2026-03-06 12:00:00
231FA04260,CSE,2027,8.44,Yes,3,4,3,6.4,7.3,7.5,8.1,7.6,9.7,7,5.1,7.6,6.8,5.4,6.4,8,9,8,7,8,7,7,7,7,8,7,8,1.6,1.7,0.5,0,0.4,0,0,1.9,0,1.2,1.6,1.6,0.88,91.2,Placed,2026-03-06 18:00:00
231FA04261,CSE-AIML,2027,8.91,Yes,3,5,3,7.1,8.9,5.7,8,10,7.3,7.3,8.4,8.2,9.3,7.3,8.4,8,8,8,7,8,7,7,7,7,7,8,8,0.9,0,2.3,0,0,0,0,0,0,0,0.7,0,0.32,96.8,Not Placed,2026-03-07 00:00:00
231FA04262,CSE-DS,2027,7.31,Yes,5,7,4,8.4,7.1,7.4,7.5,6,7,9.4,8.8,6.8,7.5,8.7,8.1,8,8,7,7,9,7,6,8,7,6,8,7,0,0.9,0,0,3,0,0,0,0.2,0,0,0,0.34,96.6,Placed,2026-03-07 06:00:00
231FA04263,CSE,2027,8.46,Yes,4,5,1,8.3,7.9,7.5,7.1,5.8,8.1,7,5.2,6.6,8.3,4.9,6,8,7,8,6,7,7,7,7,8,7,8,9,0,0,0.5,0,1.2,0,0,1.8,1.4,0,3.1,3,0.92,90.8,Placed,2026-03-07 12:00:00
231FA04264,CSE,2027,7.62,Yes,5,3,3,7.2,8.8,8.3,8.9,7.3,6.8,8.1,5.9,5.8,5.6,8.4,6,7,7,8,7,9,7,7,7,7,7,9,8,0,0,0,0,1.7,0.2,0,1.1,1.2,1.4,0.6,2,0.68,93.2,Not Placed,2026-03-07 18:00:00
231FA04265,CSE-DS,2027,7.52,Yes,8,3,2,8.2,7.1,8.3,5.5,6.1,7.5,6.4,3.8,5.2,5.5,5.6,7.8,7,8,9,6,7,6,7,7,8,7,8,8,0,0.9,0.7,0.5,0.9,0,0.6,3.2,2.8,1.5,2.4,0.2,1.14,88.6,Not Placed,2026-03-08 00:00:00
231FA04266,CSE-AIML,2027,8.31,Yes,3,7,2,8,7.8,10,9,8.6,5.7,7.6,7.9,7,9.7,7.6,6,8,8,8,6,8,7,7,7,7,7,9,9,0,0.2,0,0,0,1.3,0,0,0,0,1.4,3,0.49,95.1,Placed,2026-03-08 06:00:00
231FA04267,CSE-AIML,2027,8.14,No,0,4,3,5.8,9.9,6.5,4.4,6.3,4.8,8.2,4.6,5.3,7.1,8.4,7,8,8,9,7,9,6,7,7,7,7,7,9,2.2,0,2.5,2.6,2.7,1.2,0,2.4,1.7,0,0,2,1.44,85.6,Not Placed,2026-03-08 12:00:00
231FA04268,CSE-AIML,2027,6.47,No,0,4,2,5.1,6.9,6,8,7.7,6,7.6,7,8.3,7.6,7.3,8.3,9,7,7,6,8,8,8,7,8,7,8,8,3.9,0.1,1,0,0.3,2,0.4,0,0,0,0.7,0,0.7,93,Not Placed,2026-03-08 18:00:00
231FA04269,CSE,2027,8.76,Yes,3,3,1,7.1,6.1,7.3,6.6,7.8,7.2,7.6,5.6,7.7,5.5,8.3,8.3,8,9,9,7,9,6,6,8,7,8,9,8,0.9,2.9,1.7,0.4,1.2,0,0,2.4,0,2.5,0.7,0,1.06,89.4,Placed,2026-03-09 00:00:00
231FA04270,CSE,2027,8.69,No,0,1,4,7.3,7.3,6.6,6.1,6.9,9.4,7.2,5.2,4.7,5.1,6.4,8.5,8,7,8,7,8,8,8,7,7,7,8,8,0.7,0,1.4,0.9,1.1,0,0.8,1.8,2.3,1.9,1.6,0,1.04,89.6,Placed,2026-03-09 06:00:00
231FA04271,CSE-DS,2027,7.18,Yes,4,3,3,5.7,8.7,7.2,7.5,7.5,7.7,6.4,4,6.2,5.8,7.3,7.2,8,8,8,7,8,7,6,7,8,7,8,7,2.3,0,0.8,0,0.5,0,0,3,1.8,1.2,0.7,0,0.86,91.4,Placed,2026-03-09 12:00:00
231FA04272,CSE-DS,2027,7.95,Yes,5,3,2,6.7,9.2,6.2,4.2,7.2,8.5,7.4,6.6,7.3,9.3,5.9,7,9,9,8,6,8,8,6,7,7,6,8,9,2.3,0,1.8,1.8,0.8,0,0,0.4,0,0,2.1,2,0.93,90.7,Placed,2026-03-09 18:00:00
231FA04273,CSE-DS,2027,8.02,Yes,3,3,1,7.8,7.3,6.6,6.4,6.6,7.6,7.5,9.6,5,9.1,6.7,6.8,8,8,8,7,7,7,8,6,7,7,9,8,0.2,0.7,1.4,0.6,0.4,0,0.5,0,2,0,2.3,1.2,0.77,92.3,Placed,2026-03-10 00:00:00
231FA04274,CSE-DS,2027,7.85,Yes,5,5,2,8.3,8.3,8.7,8.9,7.2,9,6.4,6.8,7,6.6,7.3,8.4,9,8,9,8,9,8,7,7,7,6,8,8,0.7,0,0.3,0,1.8,0,0.6,0.2,0,0,0.7,0,0.36,96.4,Placed,2026-03-10 06:00:00
231FA04275,CSE,2027,7.24,No,0,2,0,7.2,5.6,5.5,5.3,6.5,4.4,5.3,5.8,7.7,6.2,7.6,6.6,7,7,8,6,8,8,7,7,6,7,8,7,0,1.4,2.5,0.7,1.5,3.6,1.7,1.2,0,0.8,0.4,0.4,1.18,88.2,Not Placed,2026-03-10 12:00:00
231FA04276,CSE,2027,7.15,No,0,3,3,6.1,6.2,5.3,9.7,8.1,7.5,5.1,6.2,5.5,6.9,5.6,5.9,9,7,9,6,8,7,8,8,8,8,8,9,2.9,0.8,3.7,0,0,0,2.9,1.8,2.5,1.1,2.4,3.1,1.77,82.3,Not Placed,2026-03-10 18:00:00
231FA04277,CSE-AIML,2027,7.63,Yes,2,4,2,5.9,6.8,7.2,6.8,9,8.1,6.1,7.5,6.2,6.6,7.7,7.9,7,8,9,8,8,7,7,7,7,7,8,7,1.1,1.2,1.8,1.2,0,0,0.9,0,0.8,0.4,0.3,0,0.64,93.6,Placed,2026-03-11 00:00:00
231FA04278,CSE-AIML,2027,8.53,Yes,4,7,1,6.8,6.1,7.6,8.1,6.7,8.5,8.3,6.7,8.9,9,10,9.7,8,8,7,7,8,6,6,8,7,7,9,7,1.2,1.9,0,0,1.3,0,0,1.3,0,0,0,0,0.47,95.3,Placed,2026-03-11 06:00:00
231FA04279,CSE-AIML,2027,8.06,Yes,5,4,2,6,8.3,8.3,6.7,7.7,4.8,4.8,5,7.6,7.7,6.8,9.3,8,8,9,7,8,7,7,7,7,8,8,8,2,0,0.7,0.3,0.3,2.2,2.2,2,0,0.3,1.2,0,0.93,90.7,Not Placed,2026-03-11 12:00:00
231FA04280,CSE-AIML,2027,7.37,Yes,6,3,0,8,4.7,6.5,5.6,7.3,6.7,5.6,8.9,6.8,6.2,6.4,8.8,7,8,8,8,8,7,7,7,7,7,8,7,0,3.3,1.5,2.4,0.7,0.3,1.4,0,0.2,0.8,1.6,0,1.02,89.8,Not Placed,2026-03-11 18:00:00
231FA04281,CSE-DS,2027,8.23,Yes,5,4,5,8.6,7.2,6.2,6.4,6.8,8.1,8.4,6.5,8.4,6.3,6.7,5.6,8,8,9,7,8,7,7,8,7,7,9,9,0,0.8,2.8,0.6,1.2,0,0,1.5,0,0.7,2.3,3.4,1.11,88.9,Not Placed,2026-03-12 00:00:00
231FA04282,CSE,2027,5.51,Yes,6,3,3,4.8,5.5,6.6,5.4,8.5,5.4,6.8,8.3,6.7,6.1,6.8,5.9,9,8,9,6,9,6,7,7,7,7,9,8,4.2,2.5,2.4,0.6,0.5,0.6,0.2,0,0.3,0.9,2.2,2.1,1.38,86.2,Placed,2026-03-12 06:00:00
231FA04283,CSE,2027,8.51,No,0,4,3,5.9,7.9,6.4,8.3,8.1,7.3,8.3,6.4,8.1,8.1,6.7,6.6,8,8,8,7,8,7,7,6,7,7,8,8,2.1,0.1,1.6,0,0,0,0,0,0,0,1.3,1.4,0.54,94.6,Placed,2026-03-12 12:00:00
231FA04284,CSE,2027,6.35,No,0,3,0,6.7,8.8,6,5.8,7.8,6.4,7.4,8.2,3.9,6.3,6,5.1,7,8,8,7,8,7,8,6,7,7,7,8,0.3,0,2,1.2,0.2,0.6,0.6,0,3.1,0.7,1,2.9,1.05,89.5,Not Placed,2026-03-12 18:00:00
231FA04285,CSE-AIML,2027,7.38,Yes,4,2,4,4.5,4.9,7.1,6.3,5.9,7.1,6.1,8.5,6.2,8.8,6.9,6.1,8,8,8,7,7,7,7,7,7,7,7,9,3.5,3.1,0.9,0.7,1.1,0,0.9,0,0.8,0,0.1,2.9,1.17,88.3,Placed,2026-03-13 00:00:00
231FA04286,CSE,2027,6.81,No,0,4,6,6.1,8.9,7.9,6.1,7.2,4.1,5.4,6.1,6.1,8.5,4.6,5.2,9,8,8,7,7,7,8,6,7,7,8,8,2.9,0,0.1,0.9,0,2.9,2.6,0,0.9,0,3.4,2.8,1.38,86.2,Placed,2026-03-13 06:00:00
231FA04287,CSE,2027,6.68,Yes,8,5,2,7.6,7.3,6.6,9.6,7.8,8.5,6.9,6.3,6.3,8.2,8,6.7,8,8,8,7,8,6,8,7,7,7,7,7,0.4,0.7,1.4,0,0.2,0,1.1,0.7,0.7,0,0,0.3,0.46,95.4,Placed,2026-03-13 12:00:00
231FA04288,CSE,2027,8.52,Yes,12,3,3,7.8,8.4,6.5,6.8,7.8,5,7.8,5.8,8.4,9.9,6.3,5.5,8,8,8,8,9,7,7,7,7,6,7,8,0.2,0,1.5,1.2,1.2,2,0,1.2,0,0,0.7,2.5,0.88,91.2,Not Placed,2026-03-13 18:00:00
231FA04289,CSE,2027,7.3,Yes,10,3,2,6.7,6.5,7.7,7.2,6.5,7,5.5,7.9,8.9,5.4,4.9,6.4,8,7,8,7,8,7,7,7,7,7,9,8,1.3,0.5,0.3,0,1.5,0,1.5,0,0,1.6,4.1,1.6,1.03,89.7,Placed,2026-03-14 00:00:00
231FA04290,CSE-AIML,2027,7.91,No,0,2,3,5.2,5.2,5,6.5,6.2,7.2,6.1,5.2,6.7,5.4,7.4,4.7,9,7,8,7,8,7,6,6,7,7,9,8,3.8,1.8,3,0.5,1.8,0,0,0.8,0.3,1.6,1.6,3.3,1.54,84.6,Placed,2026-03-14 06:00:00
231FA04291,CSE,2027,7.61,No,0,2,2,3.9,4.6,6.1,6.3,6.8,5.9,5.6,8.4,8.1,7.9,7,7.1,9,8,8,6,9,7,6,7,7,7,8,8,5.1,3.4,1.9,0,2.2,1.1,0.4,0,0,0,1,0.9,1.33,86.7,Placed,2026-03-14 12:00:00
231FA04292,CSE,2027,8.01,Yes,5,1,1,5.7,6.9,5.5,5.4,4.7,7.2,6.9,6.3,6.2,4.4,7,6.3,8,9,9,7,8,6,7,7,6,7,8,7,2.3,2.1,3.5,1.6,3.3,0,0.1,0.7,0,2.6,1,0.7,1.49,85.1,Not Placed,2026-03-14 18:00:00
231FA04293,CSE-DS,2027,7.71,Yes,6,1,3,7.9,7,7.7,6.8,7,8,6.6,7.4,6.2,6.6,8.8,7.6,7,9,7,6,9,7,7,7,7,6,9,8,0,2,0,0,2,0,0.4,0,0.8,0,0.2,0.4,0.48,95.2,Placed,2026-03-15 00:00:00
231FA04294,CSE,2027,6.69,No,0,3,2,5.9,7.1,5,6.3,5.4,7.1,6.3,6.9,7.5,6,6,6.5,8,7,9,6,8,8,7,7,7,7,8,8,2.1,0,4,0,2.6,0.9,0.7,0.1,0,1,2,1.5,1.24,87.6,Placed,2026-03-15 06:00:00
231FA04295,CSE,2027,8.4,Yes,5,3,1,5.9,7,7.1,7.3,7.5,5,5.4,5.6,7.1,6.7,4.2,9.5,7,8,8,7,9,8,6,7,7,7,9,7,1.1,1,0.9,0,1.5,3,0.6,1.4,0,0.3,4.8,0,1.22,87.8,Not Placed,2026-03-15 12:00:00
231FA04296,CSE,2027,7.28,No,0,2,1,4,6.5,7.2,5.6,7.3,5.2,6.7,3.8,7.9,6.5,4.5,7.3,8,8,9,7,8,8,8,6,7,7,7,8,4,1.5,1.8,1.4,0.7,2.8,1.3,2.2,0,0.5,2.5,0.7,1.62,83.8,Not Placed,2026-03-15 18:00:00
231FA04297,CSE-AIML,2027,6.48,Yes,4,5,1,8.9,5.7,6.6,6.2,5.9,5.8,6.1,6.1,6.4,6.3,7.8,7.7,7,8,8,6,8,7,7,7,7,7,8,9,0,2.3,1.4,0,2.1,1.2,0.9,0.9,0.6,0.7,0.2,1.3,0.97,90.3,Not Placed,2026-03-16 00:00:00
231FA04298,CSE,2027,7.33,Yes,8,5,3,5.3,6.5,8.8,7.6,7.6,7.5,6.9,7.2,6.7,8.3,6.7,7.1,8,7,8,7,8,7,7,7,7,8,7,8,2.7,0.5,0,0,0.4,0,0.1,0,0.3,0,0.3,0.9,0.43,95.7,Not Placed,2026-03-16 06:00:00
231FA04299,CSE-AIML,2027,8.78,Yes,4,5,1,8.3,6.9,7.2,6.9,7.2,6.9,6.7,6.5,7.1,8.6,8.1,5.4,8,8,9,7,8,6,7,7,7,7,8,8,0,1.1,1.8,0.1,0.8,0,0.3,0.5,0,0,0,2.6,0.6,94,Placed,2026-03-16 12:00:00
231FA04300,CSE,2027,8.29,No,0,3,1,6.3,6,4.8,7.1,6.7,9.3,6.4,5.8,5.7,6.2,7.5,7.7,8,9,8,7,8,7,6,8,8,7,8,8,1.7,3,3.2,0,1.3,0,0,2.2,2.3,0.8,0.5,0.3,1.28,87.2,Not Placed,2026-03-16 18:00:00
231FA04301,CSE,2027,7.39,Yes,5,2,3,10,5.3,7,6,7.3,8.6,7.9,5.3,7.7,4.2,3.9,6.5,8,7,8,7,8,7,7,8,7,7,9,7,0,1.7,1,1,0.7,0,0,2.7,0,2.8,5.1,0.5,1.29,87.1,Placed,2026-03-17 00:00:00
231FA04302,CSE,2027,7.39,No,0,3,2,7.5,7.1,9.1,6.8,6.6,8.1,6.2,7.2,7.3,5.5,7.2,9.4,7,8,8,6,8,7,7,7,7,7,9,8,0,0.9,0,0,1.4,0,0.8,0,0,1.5,1.8,0,0.53,94.7,Not Placed,2026-03-17 06:00:00
231FA04303,CSE,2027,7.41,Yes,3,2,1,8.1,5.7,9.6,7.6,7.2,6.6,7.6,6.8,6.7,6.5,7.9,7.8,8,8,8,7,8,7,7,8,8,7,8,8,0,2.3,0,0,0.8,0.4,0,1.2,1.3,0.5,0.1,0.2,0.57,94.3,Placed,2026-03-17 12:00:00
231FA04304,CSE-AIML,2027,9.21,No,0,2,1,6.7,5,6.9,6,6.3,6.7,5.5,4.8,7.2,6.9,6.8,7.5,9,7,8,7,9,7,6,7,7,7,9,9,2.3,2,1.1,1,2.7,0.3,0.5,2.2,0,0.1,2.2,1.5,1.33,86.7,Placed,2026-03-17 18:00:00
231FA04305,CSE-AIML,2027,7.94,No,0,3,3,6.1,7.3,8.6,6.6,9.3,7,5.8,8,6.7,8.2,7.4,6.5,9,8,7,6,9,7,6,7,7,6,7,9,2.9,0.7,0,0,0,0,0.2,0,0.3,0,0,2.5,0.55,94.5,Placed,2026-03-18 00:00:00
231FA04306,CSE-DS,2027,7.97,No,0,2,3,8.7,6.1,4.1,7.9,7.2,8.4,5.7,6.5,6.3,7.9,7.6,7,7,8,8,7,7,6,6,7,7,8,9,8,0,1.9,3.9,0,0,0,0.3,0.5,0.7,0.1,1.4,1,0.82,91.8,Placed,2026-03-18 06:00:00
231FA04307,CSE,2027,8.42,Yes,5,6,2,7.7,6,8.4,8.5,10,8.1,8.3,8.1,6.6,9,7.4,7.2,8,8,7,6,7,7,7,7,7,7,8,7,0.3,2,0,0,0,0,0,0,0.4,0,0.6,0,0.27,97.3,Placed,2026-03-18 12:00:00
231FA04308,CSE,2027,7.83,Yes,5,3,4,7,7.1,6.5,7.4,7,6.9,7.8,7.2,6.5,6.2,7.3,6.2,8,8,8,8,8,7,6,6,7,7,8,8,1,0.9,1.5,0.6,1,0.1,0,0,0.5,0.8,0.7,1.8,0.74,92.6,Placed,2026-03-18 18:00:00
231FA04309,CSE-AIML,2027,7.46,Yes,5,4,1,5.9,5.9,7.3,8.4,7.4,8.1,6.9,7.1,9,8,8.1,6.6,7,8,8,8,8,8,7,6,6,7,8,8,1.1,2.1,0.7,0,0.6,0,0.1,0,0,0,0,1.4,0.5,95,Placed,2026-03-19 00:00:00
231FA04310,CSE,2027,7.5,No,0,3,1,6.6,7.1,5.9,3.7,7.1,7.8,6.7,5.9,6.2,4.1,6.2,5.2,8,7,9,6,8,8,7,8,7,7,7,8,1.4,0,3.1,2.3,0.9,0.2,0.3,2.1,0.8,2.9,0.8,2.8,1.47,85.3,Placed,2026-03-19 06:00:00
231FA04311,CSE,2027,7.6,Yes,3,5,2,6.3,5.7,5.6,5.9,8,6.5,5.8,8.1,7.3,4.2,8.4,7.3,8,7,8,6,8,7,6,8,8,7,8,7,1.7,1.3,2.4,0.1,0,0.5,0.2,0,0.7,2.8,0,0,0.81,91.9,Placed,2026-03-19 12:00:00
231FA04312,CSE,2027,7.62,Yes,5,2,1,7.7,6.5,8.7,6.3,3.4,5.6,7.4,6.9,6.6,5.5,6.8,6.7,8,8,8,6,8,7,7,7,8,7,9,8,0.3,1.5,0,0,4.6,1.4,0,0.1,1.4,1.5,2.2,1.3,1.19,88.1,Not Placed,2026-03-19 18:00:00
231FA04313,CSE,2027,8.2,Yes,4,5,1,7.2,7.9,7.4,6.9,6,8.9,9.7,9.4,8.1,5.1,5,6.5,9,8,8,7,7,6,6,6,7,7,8,8,1.8,0.1,0.6,0.1,1,0,0,0,0,1.9,3,1.5,0.83,91.7,Placed,2026-03-20 00:00:00
231FA04314,CSE-DS,2027,7.69,Yes,6,6,3,7.3,7.3,7.6,5.7,9.4,9.3,5.8,5.1,7.3,9,7.4,7.7,7,8,8,6,8,6,7,7,7,6,7,7,0,0.7,0.4,0.3,0,0,1.2,1.9,0,0,0,0,0.38,96.2,Placed,2026-03-20 06:00:00
231FA04315,CSE-DS,2027,8.2,No,0,3,5,6.6,7.3,8.3,7.6,7.8,5,9.8,5,7.3,6.9,7,8.2,9,8,7,7,8,7,7,7,6,7,8,8,2.4,0.7,0,0,0.2,2,0,2,0,0.1,1,0,0.7,93,Placed,2026-03-20 12:00:00
231FA04316,CSE-AIML,2027,7.59,Yes,5,4,1,6.1,6.4,5.5,8.4,7.3,7.8,8,9.5,9.2,7.4,7.2,6.3,8,7,8,8,9,6,7,8,6,6,9,8,1.9,0.6,2.5,0,1.7,0,0,0,0,0,1.8,1.7,0.85,91.5,Not Placed,2026-03-20 18:00:00
231FA04317,CSE,2027,7.71,No,0,5,3,8,8,6.2,8,8.3,5.7,7.3,7,7.1,5.9,4.8,6.1,8,8,8,8,7,7,7,7,7,7,9,9,0,0,1.8,0,0,1.3,0,0,0,1.1,4.2,2.9,0.94,90.6,Placed,2026-03-21 00:00:00
231FA04318,CSE,2027,6.15,Yes,4,3,4,5.7,7.3,7.3,7.2,5.1,5.4,6,6.8,6.4,7.2,8,5.6,8,8,9,6,8,6,8,8,7,7,8,8,2.3,0.7,1.7,0,2.9,0.6,2,1.2,0.6,0,0,2.4,1.2,88,Placed,2026-03-21 06:00:00
231FA04319,CSE,2027,8.34,Yes,3,1,2,5.6,7,6.7,7.8,6.9,9,4.9,7.9,7.1,5.1,4.3,5.4,8,8,8,8,9,8,8,7,7,7,8,7,2.4,1,1.3,0.2,2.1,0,3.1,0,0,1.9,3.7,1.6,1.44,85.6,Placed,2026-03-21 12:00:00
231FA04320,CSE,2027,7.91,Yes,3,5,0,8.6,8.5,6.9,6.6,6,6.8,6.5,9.2,5.5,7.6,9.3,8.1,8,8,7,6,9,7,7,6,7,7,8,7,0,0,0.1,0,3,0.2,0.5,0,1.5,0,0,0,0.44,95.6,Not Placed,2026-03-21 18:00:00
231FA04321,CSE,2027,8.4,Yes,8,3,3,5.8,5.3,7.5,7.4,8.7,7.9,6.6,6.5,5.5,7.3,5.4,8.3,9,8,8,6,8,7,7,8,8,7,7,8,3.2,2.7,0.5,0,0,0,0.4,1.5,2.5,0,1.6,0,1.03,89.7,Placed,2026-03-22 00:00:00
231FA04322,CSE-AIML,2027,5.5,Yes,4,5,2,7.5,7.5,5.1,6.6,6.3,6.9,7.4,6.1,6.2,7.6,5.3,5.8,9,9,9,8,8,6,8,7,7,8,8,8,1.5,1.5,3.9,1.4,1.7,0,0.6,0.9,0.8,0.4,2.7,2.2,1.47,85.3,Placed,2026-03-22 06:00:00
231FA04323,CSE-AIML,2027,9.22,No,0,4,4,7.4,8.5,6.1,9.6,5.7,9.3,8.8,5.6,5.3,8.2,6.9,6.1,7,9,8,8,8,8,6,7,7,8,8,9,0,0.5,1.9,0,2.3,0,0,1.4,1.7,0,1.1,2.9,0.98,90.2,Not Placed,2026-03-22 12:00:00
231FA04324,CSE,2027,7.55,Yes,12,4,3,9.4,5.6,6.2,6.4,3.6,7.2,6,8.1,8.3,7.4,7.4,7.3,7,8,9,7,8,7,7,8,6,6,9,9,0,2.4,2.8,0.6,4.4,0,1,0,0,0,1.6,1.7,1.21,87.9,Placed,2026-03-22 18:00:00
231FA04325,CSE-DS,2027,8.48,No,0,5,4,6.4,6.5,9,8.2,7.6,8.1,7.2,7.5,8.1,4.7,8.4,8.4,8,9,7,7,9,6,8,7,7,7,8,8,1.6,2.5,0,0,1.4,0,0.8,0,0,2.3,0,0,0.72,92.8,Placed,2026-03-23 00:00:00
231FA04326,CSE-AIML,2027,6.87,Yes,3,4,4,6.1,8.6,4.3,7.5,7.1,6.7,7.1,7.8,4.8,8.3,6.6,8.3,8,8,8,7,7,8,8,7,8,8,8,8,1.9,0,3.7,0,0,1.3,0.9,0,3.2,0,1.4,0,1.03,89.7,Placed,2026-03-23 06:00:00
231FA04327,CSE-AIML,2027,8.11,Yes,4,1,2,7.6,6.3,6.7,6.8,8.8,5.4,6.3,4.8,7,6,6.2,8.7,7,9,7,7,9,8,6,6,7,7,8,9,0,2.7,0.3,0.2,0.2,2.6,0,1.2,0,1,1.8,0.3,0.86,91.4,Not Placed,2026-03-23 12:00:00
231FA04328,CSE-AIML,2027,6.86,No,0,3,2,5.6,6.4,6,6.1,10,4.4,7.4,9.6,7.9,6.7,5.1,8.2,8,7,8,8,8,8,8,8,7,7,9,8,2.4,0.6,2,1.9,0,3.6,0.6,0,0,0.3,3.9,0,1.28,87.2,Not Placed,2026-03-23 18:00:00
